1,2,4,8,16,32,64,80,96,128
20,0.000383,0.000221,0.000314,0.000216,0.000201,0.000005,0.000005,0.000005,0.000006,0.000005
50,0.000477,0.000285,0.000167,0.000325,0.000475,0.001111,0.000008,0.000006,0.00004,0.000006
100,0.001413,0.000717,0.000499,0.000319,0.000913,0.001269,0.000871,0.001013,0.001265,0.000005
200,0.006547,0.003238,0.001791,0.001039,0.000843,0.000921,0.002239,0.001933,0.000693,0.002077
500,0.022943,0.012194,0.006064,0.004245,0.003355,0.001628,0.003136,0.00172,0.001006,0.003501
1000,0.082306,0.04194,0.023141,0.011811,0.011202,0.004737,0.009657,0.008697,0.008278,0.004062
2000,0.452569,0.219359,0.113826,0.074127,0.030134,0.038324,0.022628,0.027304,0.013799,0.039925
3000,0.990645,0.47483,0.255161,0.133178,0.08985,0.066115,0.119766,0.041683,0.060433,0.046068
5000,1.796013,0.986513,0.540592,0.366929,0.237624,0.180689,0.045525,0.118345,0.136393,0.130284
10000,8.331336,4.576388,2.447859,1.637826,1.081995,0.781093,0.403665,0.173549,0.37705,0.393297
