1,2,4,8,16,32,64,80,96,128
20,0.00027,0.000413,0.0019,0.001712,0.001729,0.001838,0.00348,0.004052,0.004689,0.00754
50,0.00043,0.0004076,0.000370545,0.000285035,0.000829,0.0009119,0.0018238,0.0027357,0.00410355,0.005334615
100,0.001618,0.002319,0.009077,0.00977,0.01523,0.008604212,0.016969007,0.024229357,0.035907325,0.03657687
200,0.008832,0.0067655,0.004460977,0.003855305,0.004631683,0.003402127,0.005612115,0.007462432,0.009694792,0.011694274
500,0.044783,0.02179,0.016733667,0.013113727,0.010092667,0.008938571,0.00994324,0.0130353,0.01564387,0.02094231
1000,0.201308,0.100799333,0.066211167,0.059377385,0.07135481,0.06289671,0.086300618,0.098184911,0.171410067,0.26674344
2000,1.101889,0.895564,0.5951252,0.535358462,0.262831449,0.175868138,0.143207312,0.333141859,0.533740415,0.671644382
3000,1.9292155,0.976271199,0.510251442,0.412760493,0.273528734,0.219187075,0.261174795,0.329330918,0.373338998,0.426051605
5000,3.129794615,1.646453443,0.838033921,0.430386265,0.382842999,0.499534119,0.711838109,0.757002273,0.842239442,1.081048167
10000,12.45336067,6.46175747,3.189843754,2.770356214,1.488013966,2.737844671,4.382435276,6.200375958,9.176340083,10.03236418
