1,2,4,8,16,32,64,80,96,128
20,0.000722,0.000372,0.000347,0.000324,0.000354,0.000005,0.000006,0.000079,0.000009,0.000005
50,0.003926,0.002025,0.001034,0.000509,0.000422,0.000533,0.000087,0.000047,0.000040,0.000040
100,0.014964,0.007532,0.003825,0.001816,0.001758,0.002589,0.000773,0.002049,0.0021,0.000005
200,0.097263,0.043607,0.021906,0.010973,0.006321,0.004198,0.003082,0.001102,0.002486,0.004116
500,0.575228,0.268827,0.135126,0.066323,0.033382,0.017586,0.00991,0.006581,0.005672,0.013491
1000,2.320969,1.104357,0.553357,0.274648,0.137649,0.068707,0.03287,0.027643,0.029403,0.021387
2000,9.208999,4.457225,2.223544,1.121822,0.562791,0.278588,0.139622,0.116644,0.095323,0.178863
3000,20.025563,9.824092,4.902455,2.453648,1.216243,0.616405,0.302896,0.251108,0.218444,0.249283
5000,55.809678,27.440069,13.690915,6.883674,3.46044,1.734344,0.873188,0.719122,0.620426,0.49977
